title,content,link
C++ vector,,

위치를 읽는 동안 엑세스 위반이 발생했습니다,"#include<iostream>#include<thread>#include<Windows.h>#include<mutex>// std::mutex, std::unique_lock#include<condition_variable>#define PROCESS_READY   0#define PROCESS_RUN     1#define PROCESS_SLEEP   2structproc_tbl_t{volatileintid;volatileintstate;std::thread th;std::mutex mu_lock;std::condition_variable cv;std::mutex cv_lock;};structproc_tbl_t*shared_queue;structproc_tbl_t*proc_1;structproc_tbl_t*proc_2;structshared_queue{volatileintid=0;};structproc_1{//producer 프로세스.volatileintid=61;};structproc_2{//consumer 프로세스.volatileintid;};voidPut_data_Q(proc_tbl_t*producer,proc_tbl_t*queue,proc_tbl_t*consumer){//producer의 id를 shared_queue로 보내고 producer를 재운 후 consumer를 깨운다std::unique_lock<std::mutex>lk(producer->cv_lock);if(consumer->state==PROCESS_RUN){//consumer 안자고 있으면 재우고 시작한다consumer->state=PROCESS_SLEEP;consumer->cv.wait(lk);}(queue->mu_lock).lock();//lock걸고queue->id=(producer->id);//queue로 producer id 옮긴다(queue->mu_lock).unlock();//lock푼다if(queue->id==producer->id){//queue로 id 잘 옮겼으면producer->state=PROCESS_SLEEP;//producer 상태 SLEEP으로 바꾸고producer->cv.wait(lk);//producer 잔다}if(producer->state==PROCESS_SLEEP){//producer가 잘 자고있으면consumer->state=PROCESS_RUN;//consumer 상태 RUN으로 바꾸고consumer->cv.notify_one();//consumer 깨운다}std::cout<<""현재 queue에는 ""<<queue->id<<"" 이 있습니다"";std::cout<<""현재 producer 상태는 ""<<producer->state<<"" 입니다"";std::cout<<""현재 consumer 상태는 ""<<consumer->state<<"" 입니다"";}voidBring_data_Q(proc_tbl_t*producer,proc_tbl_t*queue,proc_tbl_t*consumer){//shared_queue의 data를 consumer로 가져온 후 consumer를 재우고 producer를 깨운다std::unique_lock<std::mutex>lk(queue->cv_lock);//현재 상태: producer의 id queue로 옮긴 후 producer는 자고 있고 consumer는 깨어 있다if(producer->state==PROCESS_RUN){//producer 안자고 있으면 재우고 시작하고producer->state=PROCESS_SLEEP;producer->cv.wait(lk);}else{//consumer 이미자고있으면 그대로 냅둔다}(queue->mu_lock).lock();//lock 걸고queue->id=consumer->id;//queue의 id consumer로 옮기고queue->id=0;//queue는 비운다(queue->mu_lock).unlock();//lock 푼다if(queue->id==0){//queue의 id가 NULL이면(잘 옮겨졌으면)consumer->state=PROCESS_SLEEP;consumer->cv.wait(lk);}if(consumer->state==PROCESS_SLEEP){//consumer가 잘 자고있으면producer->state=PROCESS_RUN;//producer 상태 RUN으로 바꾸고producer->cv.notify_one();//producer 깨운다}std::cout<<""현재 queue에는 ""<<queue->id<<"" 이 있습니다"";std::cout<<""현재 producer 상태는 ""<<producer->state<<"" 입니다"";std::cout<<""현재 consumer 상태는 ""<<consumer->state<<"" 입니다"";}intmain(){Put_data_Q(proc_1,shared_queue,proc_2);Bring_data_Q(proc_1,shared_queue,proc_2);return0;}예외 발생(0x00007FF80CD3308B(msvcp140d.dll), ConsoleApplication1.exe): 0xC0000005: 0x00000000000000B0 위치를 읽는 동안 액세스 위반이 발생했습니다..코드 자체에는 오류가 없는거 같은데 디버깅하면 위처럼 뜨면서 안돌아가네요..어디가 잘못됐는지 몇시간째 보고 있는데도 잘 모르겠습니다... 도와주세요..ㅜㅜ",http://okky.kr/article/1231592
대전] 여름방학 얼리버드 특별할인 이벤트!,"시험 준비하랴, 취업 준비하랴 많이 힘드시죠?오직 여러분들을 위해 준비했습니다.? 가정의 달 이벤트 진행중(~5월 27일까지)? 여름방학특강 사전등록 최대 50% 할인!JOB지식 여러분들의 취업을 위해 준비한 4가지 혜택! (택1)1. 학과보충, 취업에 필요한 1과목 무료지원2. 취업,OA, 자격증(컴활,전산회계,정보처리기사 등) 온라인 강의 1개월 무료수강권!3. 최대 45% 수강료 할인 지원!4. 공부, 취업으로 인한 서터레스! 시원하게 아아로 풀자! '스타벅스 기프트카드 증정'??? 꽝 없는 이벤트 ?-> 아래 링크를 통해 문의>>혜택 자세히 알아보기<<시 누구나 참여 가능합니다!! 100% 혜택증정!dj-koreaitaca.net",http://okky.kr/article/1231323
예외처리 질문있습니다,"#define _CRT_SECURE_NO_WARNINGS#include <stdio.h>#include ""InsertLinkedList.h""linkedList_h* createLinkedList_h(void){linkedList_h* L;L = (linkedList_h*)malloc(sizeof(linkedList_h));L->head = NULL;return L;}void freeLinkedList_h(linkedList_h* L){listNode* p;while (L->head != NULL){p = L -> head;L->head = L->head->link;free(p);p = NULL;}}void printList(linkedList_h* L){listNode* p;printf(""L = ("");p = L -> head;while (p != NULL){printf(""%s"", p->data);p = p->link;if (p != NULL) printf("","");}printf("") \n"");}void insertFirstNode(linkedList_h* L, char* x){listNode* newNode;newNode = (listNode*)malloc(sizeof(listNode));strcpy(newNode->data, x);newNode->link = L->head;L->head = newNode;}void insertMiddleNode(linkedList_h* L, listNode* pre, char* x){listNode* newNode;newNode = (listNode*)malloc(sizeof(listNode));strcpy(newNode->data, x);if (L->head == NULL){newNode->link = NULL;L->head = newNode;}else if (pre == NULL){newNode->link = L->head;L->head = newNode;}else {newNode->link = pre->link;pre->link = newNode;}}void insertLastNode(linkedList_h* L, char* x){listNode* newNode;listNode* temp;newNode = (listNode*)malloc(sizeof(listNode));strcpy(newNode->data, x);newNode->link = NULL;if (L->head == NULL){L->head = newNode;return;}temp = L->head;while (temp->link != NULL) temp = temp->link;temp->link = newNode;}처리되지 않은 예외가 throw됨: 쓰기 액세스 위반입니다.L이(가) 0xFFFFFFFF8E16D500였습니다.이라고 뜨는데 뭐가문제인가요..",http://okky.kr/article/1229397
C언어 입문자입니다.,"오전 9시 ~ 오후 18시에 혹시 시간이 시간이 나시는 C언어 고수분이 계실까요...포인터, 동적할당, 구조체 이 세 개만 깊게 이해하고 싶습니다.혼자서 올라갈 수 있는 정도의 한계가...느껴져서요.새파란? C언어 새내기 키워주실 고수님 찾습니다 ㅠㅠ귀하신 시간 내어주실 수 있다면디스코드 jasontreks#4304 로 친구추가 해주십시오.평일, 주말 상관 없습니다.",http://okky.kr/article/1228171
클래스간 변수 쓰는법 질문드립니다.,a클래스에int m_nSize;void setSize(int nSize){m_nSize = nSize;}int getSize(){ return m_nSize; }b클래스에서a->setSize(50);위와 같이 하고 setSize 함수에 디버그를 찍으면 m_nSize = 50 이라고 나오는데요b클래스 다른 함수에서 m_nSize를 사용하면 m_nSize가 0이 나오는데어디가 잘못된걸까요??,http://okky.kr/article/1227722
"C++,QT,ANDROID개발자 구직합니다  대한민국 최저가","C++,qt,ANDROID개발자 구직합니다이메일dkdlehf12345@naver.com상주던 자택이던 모두 가능합니다출근도 가능합니다연락주세요",http://okky.kr/article/1226555
JS도 프로그래밍 언어인가요?,"정보처리 산업기사를 준비하며 든 의문점인데, Java, Python, C 등 JS를 제외한 널리 알려진 언어에 대해서는 각 문법에 맞게 알고리즘에 대한 기본적인 설명들이 나오더라구요JS의 경우에는 프로그래밍 언어로 분류해야 할까요? 아니면 그저 스크립트 언어일까요?",http://okky.kr/article/1226012
머신러닝 언어 선택,"안녕하세요.요즘 제가 고민 중인게 있는데 머신비전을 도전해보려고 하는데요.일단 저의 주력 언어는 c#입니다.제가 목표로 하고 있는 것은 일단 상용라이브러리(MIL, Vision Pro등등)를 사용하여 어느 정도 비전에 관한개념과 기능들을 익힌 뒤에 공부를 열심히해서 상용라이브러리에 있는 기능들을 opencv를 이용해서 개발하여 저만의 비전라이브러리를 만들어 보는 것이 목표입니다.여기서 궁금증은1 . 이러한 목표를 달성하기 위해 어떤 언어를 쓰는 것이 좋은지..2. 그리고 opencv-python은 c++을 단순 래핑하기 때문에 연산은 결국 c++로 하는 거라 성능상 그렇게 느려지지 않는 다고 하는데,opencvsharp과 같은 것도 opencv를 래핑한 라이브러리라 성능상 느려지지 않는 것인지3. 상용라이브러리도 보면 C,C++,C#과 같은 언어를 지원하는게 많은데 언어간의 성능 차이는 없는것인지궁금합니다.",http://okky.kr/article/1225970
